Hebrew Trans,Septuagint Trans,Gallican Psalter Trans,Hebrew Psalter Trans
"Blessed is the man who has not walked in the counsel of the wicked, nor stood in the way of sinners, nor sat in the seat of scoffers.","Blessed is the man who has not walked in the counsel of the ungodly, and has not stood in the way of sinners, and has not sat upon the seat of the pestilent.","Blessed is the man who has not walked in the counsel of the ungodly, and has not stood in the way of sinners, and has not sat in the seat of pestilence.","Blessed is the man who has not walked in the counsel of the ungodly, and has not stood in the way of sinners, and has not sat in the seat of the scornful."
"But rather in the law of the LORD is his delight, and on His law he meditates day and night.","But rather his delight is in the law of the Lord, and in his law he shall meditate day and night.","But his will is in the law of the Lord, and in his law he shall meditate day and night.","But his delight is in the law of the Lord, and in his law he shall meditate day and night."
"And he shall be like a tree planted by streams of water, which yields its fruit in its season, and whose leaf does not wither; and whatever he does shall prosper.","And he shall be as the tree planted by the streams of waters, which shall yield its fruit in its season, and its leaf shall not fall off, and all things whatsoever he may do shall prosper.","And he shall be as a tree which is planted near the streams of waters, which shall yield its fruit in its season, and its leaf shall not fall off, and all things whatsoever he shall do shall prosper.","And he shall be like a tree transplanted beside streams of waters, which shall give its fruit in its season, and its leaf shall not wither, and all that he shall do shall prosper."
"Not so the wicked, but rather they are like the chaff which the wind drives away.","Not so the ungodly, not so; but rather they are as the chaff which the wind casts away from the face of the earth.","Not so the ungodly, not so: but they are as the dust which the wind casts away from the face of the earth.",Not so the ungodly: but they are like the dust which the wind drives away.
"Therefore the wicked shall not stand in the judgment, nor sinners in the congregation of the righteous.","Therefore the ungodly shall not rise up in judgment, nor sinners in the counsel of the righteous.","Therefore the ungodly shall not rise again in judgment, nor sinners in the counsel of the just.","Therefore the ungodly shall not rise in judgment, nor sinners in the congregation of the just."
"For the LORD knows the way of the righteous, but the way of the wicked shall perish.","For the Lord knows the way of the righteous, and the way of the ungodly shall perish.","For the Lord knows the way of the just, and the way of the ungodly shall perish.","For the Lord knows the way of the just, and the way of the ungodly shall perish."
"Why do the nations rage, and the peoples meditate on a vain thing?","Why did the nations rage, and the peoples meditate on vain things?","A psalm of David. Why have the nations raged, and the peoples meditated on vain things?","Why will the nations be troubled, and the tribes meditate on vain things?"
"The kings of the earth set themselves, and the rulers take counsel together, against the LORD and against His anointed:","The kings of the earth stood ready, and the rulers were gathered together against the Lord and against His anointed. *Interlude*","The kings of the earth have stood up, and the princes have gathered together as one, against the Lord and against his anointed. Selah.","The kings of the earth will rise up, and the princes will take counsel together against the Lord and against his anointed one."
"""Let us break their bonds asunder, and cast away their cords from us.""","Let us break their bonds asunder, and let us cast off their yoke from us.","Let us break their bonds asunder, and let us cast away their yoke from us.","Let us break their bonds asunder, and let us cast away their snares from us."
He who sits in the heavens shall laugh; the Lord shall mock them.,"He who dwells in the heavens shall laugh at them, and the Lord shall mock them.","He who dwells in the heavens shall laugh at them, and the Lord shall mock them.",He who dwells in heaven will laugh; the Lord will mock them.
"Then He shall speak to them in His wrath, and in His fierce displeasure He shall terrify them:","Then He shall speak to them in His anger, and in His wrath He shall trouble them.","Then he shall speak to them in his anger, and in his fury he shall trouble them.","Then he will speak to them in his anger, and in his fury he will trouble them."
"""But I have set My king upon Zion, My holy hill.""","But I have been established as king by Him upon Zion, His holy mountain.","But I have been appointed king by him over Zion, his holy mountain, proclaiming his decree.","But I have established my king upon Zion, his holy mountain; I will declare the decree of God."
"I will declare the decree: the LORD said to me, ""You are My son; this day have I begotten you.","Declaring the decree of the Lord: the Lord said to me, ""You are My son; today I have begotten you.",The Lord said to me: You are my son; today I have begotten you.,The Lord said to me: You are my son; today I have begotten you.
"Ask of Me, and I will give the nations as your inheritance, and the ends of the earth as your possession.","Ask of me, and I will give you the nations as your inheritance, and the ends of the earth as your possession.","Ask of me, and I will give you the nations as your inheritance, and the ends of the earth as your possession.","Ask of me, and I will give you the nations as your inheritance, and the ends of the earth as your possession."
"You shall break them with a rod of iron; you shall dash them in pieces like a potter's vessel.""","You shall shepherd them with an iron rod; like a potter's vessel you shall shatter them.""",You shall rule them with a rod of iron; like a potter's vessel you shall shatter them.,You will rule them with a rod of iron; like a potter's vessel you will shatter them.
"And now, O kings, be wise; be instructed, you judges of the earth.","And now, O kings, understand; be instructed, all you who judge the earth.","And now, O kings, understand; be instructed, you who judge the earth.","Now therefore, O kings, understand; be instructed, you judges of the earth."
"Serve the LORD with fear, and rejoice with trembling.","Serve the Lord with fear, and rejoice in Him with trembling.","Serve the Lord in fear, and rejoice in him with trembling.","Serve the Lord in fear, and rejoice in trembling."
"Kiss the son, lest He be angry and you perish in the way, for His wrath may blaze up in a moment. Blessed are all who take refuge in Him.","Lay hold of discipline, lest the Lord be angry and you perish from the righteous way, when His wrath is quickly kindled. Blessed are all who put their trust in Him.","Lay hold of discipline, lest at any time the Lord be angry and you perish from the just way, when his wrath has been kindled in a short time. Blessed are all who trust in him.","Worship purely, lest he become angry and you perish from the way, when his fury is kindled after a little while. Blessed are all who hope in him."
"A psalm of David, when he fled from before Absalom his son.","A psalm of David, when he was fleeing from the face of Absalom his son.","A psalm of David, when he fled from the face of Absalom his son.","A song of David, when he fled from the face of Absalom his son."
"O LORD, how many are my adversaries! Many are those who rise up against me.","Lord, why have those who afflict me multiplied? Many rise up against me.","Lord, how are they multiplied who trouble me! Many rise up against me.","O Lord, why are my enemies multiplied? Many rise up against me."
"Many are saying of my soul, ""There is no salvation for him in God."" Selah.","Many say to my soul, ""There is no salvation for him in his God."" Selah.","Many say to my soul, ""There is no salvation for him in his God."" Diapsalma.","Many say to my soul, ""There is no salvation for this one in God."" Selah."
"But you, O LORD, are a shield about me, my glory, and the lifter of my head.","But you, Lord, are my protector, my glory, and the one who lifts up my head.","But you, O Lord, are my protector, my glory, and the lifter up of my head.","But you, O Lord, are a shield around me, my glory, and the one who lifts up my head."
"With my voice I cry out to the LORD, and he answers me from his holy mountain. Selah.","With my voice I cried out to the Lord, and he heard me from his holy mountain. Selah.","With my voice I cried to the Lord, and he heard me from his holy mountain. Diapsalma.","With my voice I will cry out to the Lord, and he will hear me from his holy mountain. Selah."
"I lay down and slept; I awoke, for the LORD sustains me.","I lay down and slept; I awoke, for the Lord will sustain me.","I lay down and slept; I rose again, for the Lord will sustain me.","I lay down and slept; I awoke, for the Lord sustained me."
I will not be afraid of ten thousands of people who have set themselves against me all around.,I will not be afraid of myriads of people who set themselves against me all around.,I will not fear the thousands of people surrounding me.,I will not fear the thousands of people who have surrounded me on every side.
"Arise, O LORD! Save me, O my God! For you have struck all my enemies on the cheek; the teeth of the wicked you have broken.","Arise, Lord; save me, O my God, for you have struck all those who oppose me without cause; you have shattered the teeth of sinners.","Arise, O Lord; save me, O my God: for you have struck all who oppose me without cause; you have broken the teeth of sinners.","Arise, O Lord; save me, O my God; for you have struck the cheek of all my enemies; you have broken the teeth of the wicked."
Salvation belongs to the LORD; upon your people is your blessing. Selah.,"Salvation belongs to the Lord, and your blessing is upon your people.","Salvation is of the Lord, and your blessing is upon your people.",Salvation is the Lord's; upon your people be your blessing forever.
"For the choirmaster, with stringed instruments, a psalm of David.","For the end, in psalms; a song of David.","To the end, in songs, a psalm of David.","To the victor, in psalms, a song of David."
"When I call, answer me, O God of my righteousness; in distress You have made room for me; be gracious to me and hear my prayer.","When I called upon him, the God of my righteousness heard me; in affliction you made room for me. Have mercy on me and hear my prayer.","When I called upon him, the God of my justice heard me: in tribulation you have made room for me. Have mercy on me and hear my prayer.","When I call upon you, hear me, O God of my justice; in tribulation you have given me room. Have mercy on me and hear my prayer."
"O sons of men, how long shall my glory be turned to shame? How long will you love vanity and seek after falsehood? Selah.","O sons of men, how long will you be heavy of heart? Why do you love vanity and seek after falsehood? Selah.","O sons of men, how long will you be heavy of heart? Why do you love vanity and seek after falsehood? Diapsalma.","O sons of men, how long will you be heavy of heart? You love vanity and seek after falsehood always."
And know that the LORD has set apart the godly one for Himself; the LORD will hear when I call to Him.,And know that the Lord has made wondrous his holy one; the Lord will hear me when I cry out to him.,And know that the Lord has made his holy one wonderful: the Lord will hear me when I cry out to him.,And know that the Lord has made his holy one wonderful; the Lord will hear when I cry out to him.
"Tremble and do not sin; speak in your hearts upon your beds, and be still. Selah.","Be angry, and do not sin; speak in your hearts and be pierced with compunction upon your beds. Selah.","Be angry, and do not sin: the things you say in your hearts, upon your beds be pierced with compunction. Diapsalma.","Be angry and do not sin; speak in your hearts upon your beds, and be silent always."
"Offer sacrifices of righteousness, and put your trust in the LORD.",Offer a sacrifice of righteousness and put your hope in the Lord.,"Offer the sacrifice of justice, and hope in the Lord.",Offer the sacrifice of justice and trust in the Lord.
"Many are saying, ""Who will show us good?"" Lift up upon us the light of Your countenance, O LORD.","Many say, ""Who will show us good things?"" The light of your face, O Lord, has been stamped upon us.","Many say, ""Who will show us good things?"" The light of your countenance, O Lord, is signed upon us.","Many say, ""Who will show us good things?"" Lift up the light of your countenance upon us, O Lord."
"You have put gladness in my heart, more than in the time when their grain and their new wine abound.",You have given gladness to my heart; from the season of their grain and wine and oil they were multiplied.,You have given gladness in my heart: from the fruit of their grain and wine and oil they have been multiplied.,You have given gladness in my heart; in their season their grain and wine have been multiplied.
"In peace, together, I will both lie down and sleep; for You alone, O LORD, make me dwell in safety.","In peace, at once I shall lie down and sleep, for you alone, O Lord, have made me dwell in hope.","In peace, in this very thing, I will sleep and I will rest: for you, O Lord, singularly in hope have established me.","In peace, together, I will rest and sleep, for you, O Lord, have uniquely made me dwell in safety."
"For the choirmaster, upon the flutes, a psalm of David.","To the end, on behalf of the one who inherits, a psalm of David.","Unto the end, for her who obtains the inheritance, a psalm of David.","To the victor, for the inheritances, a song of David."
"Give ear to my words, O LORD; consider my meditation.","Give ear to my words, O Lord; understand my cry.","Receive my words with your ears, O Lord; understand my cry.","Hear my words, O Lord; understand my murmuring."
"Hearken to the voice of my cry, my King and my God, for unto You do I pray.","Attend to the voice of my supplication, my King and my God, for to you I will pray, O Lord.","Attend to the voice of my prayer, my King and my God, for to you I will pray.","My king and my God, for to you I pray."
"O LORD, in the morning You shall hear my voice; in the morning I will set my prayer before You, and will watch.",In the morning you shall hear my voice; in the morning I will stand before you and watch.,"O Lord, in the morning you will hear my voice; in the morning I will stand before you and will see.","O Lord, in the morning you will hear my voice; in the morning I will prepare myself before you, and I will watch."
For You are not a God who takes pleasure in wickedness; evil shall not sojourn with You.,"For you are not a god who wills lawlessness, nor shall the evildoer dwell with you.","For you are not a god who wills iniquity, nor shall the evildoer dwell beside you.","For you are not a god who wills iniquity, nor shall the wicked dwell beside you."
The boastful shall not stand before Your eyes; You hate all workers of iniquity.,The lawless shall not remain before your eyes; you have hated all who work iniquity.,Nor shall the unjust endure before your eyes; you have hated all who work iniquity.,The unjust shall not stand in the sight of your eyes; you have hated all who work iniquity.
You shall destroy those who speak falsehood; the man of blood and deceit the LORD abhors.,You will destroy all who speak falsehood; the Lord abhors the man of blood and deceit.,You will destroy all who speak falsehood; the man of blood and deceit the Lord will abominate.,You will destroy those who speak falsehood; the man of blood and deceit the Lord will abominate.
"But as for me, in the abundance of Your lovingkindness I will come into Your house; I will bow down toward Your holy temple in reverence of You.","But I, in the abundance of your mercy, will enter into your house; I will worship toward your holy temple in fear of you.","But I, in the multitude of your mercy, will enter into your house; I will worship at your holy temple in your fear.","But I, in the multitude of your mercy, will enter into your house; I will worship in your holy temple, in fear of you."
"O LORD, lead me in Your righteousness because of my enemies; make Your way straight before me.","O Lord, guide me in your righteousness; because of my enemies, make straight your way before me.","O Lord, lead me in your justice; because of my enemies, direct your way in my sight.","O Lord, lead me in your justice; because of those who lie in wait for me, direct your way before my face."
