,Psalm,Verse,hebrew_lemmas,septuagint_lemmas,gallican_psalter_lemmas,hebrew_psalter_lemmas
0,1,1,אשרי איש אשר לא הלך עצה רשע דרך חטא לא עמד מושב לצים לא ישב,μακαριος αἰνέρω οἰ οὐκέω επορεύω εἶμι βούλομαι ἵημι καίω εἶμι οἶδα αμάρτωλος οὐκέω ἵστημι καίω ἕπομαι καθατρέω λοιμων οὐκέω καθίζω,beatus vir qui non abeo in consilium impius et in via peccatum non sisto et in cathedra pestilentia non sedeo,beatus vir qui non abeo in consilium impius et in via peccatum non sisto in cathedra derido non sedeo
1,1,2,כי אם תורה יהוה חפץ תורה חלם יום לילה,ἀλή ἠμί εἶμι τίω νομέω κύριος τῷς ἐθέλω αὐτάω καίω εἶμι τίω νομέω αὐτάω μελετάω ὁμεράω καίω νύξ,sed in lex dominus voluntas is et in lex is meditor dies atque nox,sed in lex dominus voluntas is et in lex is meditor dies atque nox
2,1,3,היי עץ שתול על פלג מים אשר פרי ניתן עת עלה לא יבול כול אשר נעשה הצליח,καίω ἵστημι οἰδα τῷς σύλω τῷς πεφύτω πάρειμι ὁ διέξοδος τίνω υδατός ὁ τίνω καρπός αὐτάω δίδωμι εἶμι καιρω αὐτάω καίω τῷς φύλλω αὐτάω οὐκέω απορρύω καίω παντάω οἶδα ἄἱς ποιέω κατευοδωθέω,et sum tamquam lignum quod planto sum secus decursus aqua quod fructus suus do in tempus suus et folis is non defluo et omnis quicumque facio prospero,et sum tamquam lignum transplanto iuxta rivulus aqua quod fructus suus do in tempus suus et folis is non defluo et omnis quod facio prospero
3,1,4,לא כן רשע כי אם חץ אשר תדפנו רוח,οὐχόω ουτώς οἶδα αἰσβέω οὐχόω ουτώς ἀλή ἠμί οἰδα ὁ χνώς ος εκρίπτω ὁ ανεμος ἕπομαι προσόπτω ὁ γης,non sic impius non sic sed tamquam pulva qui proicio ventus ab facies terra,non sic impius sed tamquam pulva qui proicio ventus
4,1,5,על כן לא יקמו רשע משפט חטא עדה צדיק,δίω τίυμμι οὐκέω ανίστημι αἰσβέω εἶμι κρίνω οὐδόω αμαρτωλός εἶμι βούλομαι δικαιόω,ideo non resurgo impius in iudicium neque peccator in consilium iustus,propterea non resurgo impius in iudicium neque peccator in congregatio iustus
5,1,6,כי יודע יהוה דרך צדיק דרך רשע איבד,οἴομαι γιγνώσκω κυριος οἶδα δικαιόω καίω οδος ἵημι απόλλυμι,quoniam novo dominus via iustus et iter impius pereo,quoniam novo dominus via iustus et iter impius pereo
6,2,1,למה רגש גוי לאום יהגו ריק,ἐνάω τις ἐφρυάσσω ἵημι καίω λαός λετετέω κενάω,psalmus davida quare fremo gens et populus meditor sum inanius,quare turbo gens et tres meditor inanius
7,2,2,התייצב מלך ארץ רוזן נוסד יחד על יהוה על משיח,παρίστημι οἶδα βασιλεύς ὁ γης καίω οἶδα αρχωνός συνίγνυμι ἕπομαι τῷς αὐτάω κάθημαι τις κύριος καίω κάθημαι τις χρίζω αὐτάω διαψάλλω,adstituo rex terra et princeps convenio in unus advisceo dominus et advisceo christus is diapsalmus,consurgo rex terra et princeps tracto pariter adverdo dominus et adverdo christus is
8,2,3,ניתק את מוסרותימו השליך מן עבתימו,διαρρήγνυμι του δέσμος αὐτός καίω απορρίπτω ἵημι εἶμι τίνω ζύχω αὐτός,disrumpo vinculus is et proicio ab nos iuga ipse,disrumpo vinculus is et proicio ab nos laqueus is
9,2,4,ישב שמיים שיחק אדני ילעג למו,ὁ κάτοικα εἶμι οὐρανός εκγελάω αὐτός καίω ὁ κυριος εκμυκτηρις αὐτός,qui habito in caelum inrideo is et dominus subsanno is,habitator caelum rideo dominus subsanno is
